Word,Part_of_Speech,Audio,Photos
to pay,verb,,euro-money-pay-cash.jpg
to play,verb,,"girls-kid-children-playing.jpg, basketball-team-play-scoring.jpg"
to pray,verb,,woman-praying.jpg
to pull,verb,,wagon-pet-logos-pull-boy.jpg
to push,verb,,push-pushing-move.png
to run,verb,,running-woman-man-together.png
to say,verb,,something-to-say.jpg
to see,verb,,view-eyes-by-looking-woman.jpg
to sell,verb,,street-vendor-selling-rural-market.jpg
to shake,verb,,dog-golden-retriever-wet-shake.jpg
to shoot,verb,,"submachine-gun-rifle.jpg, football-player-sport-shooting.png, man-sports-aim-archer-arrow-bow.png"
to sing,verb,,singing-kids-child-group.png
to sit,verb,,pretty-woman-face-femininity-pose-sit.jpg
to sleep,verb,,dream-sleep-pillow-blanket.png
to smell,verb,,women-fragrant-flowers-smell.png
to smile,verb,,smiley-face-smile-happy.png
to speak,verb,,conference-public-speaking.jpg
to stand,verb,,sundress-summer-dress-girl-stand.jpg
to stir,verb,,hand-mechanic-coffee-break-stir.jpg
to swim,verb,,swim-swimmer-crawl-lake.jpg
to teach,verb,,male-teacher-cartoon.jpg
to think,verb,,think-women-head.png
to throw,verb,,water-balloon-throwing.png
to touch,verb,,michelangelo-abstract-boy-child-touch.jpg
to turn,verb,,arrow-turn-left-blue-handdrawn.png
to wake,verb,,wake-up-morning-bed-sleeping.png
to walk,verb,,shoes-walking-railroad-tracks.jpg
to wash,verb,,washing-dishes.jpg
to watch,verb,,watching-tv-kid.png
to win,verb,,boxing-winner-looser-sport-fighter.jpg
to work,verb,,railroad-workers.jpg
to write,verb,,writing-write-fountain-pen.jpg
fruit,noun,,fruit-bowl.jpg
